Name,Date,Time,Type
,2026-01-30,01:31:32,Punch-In
,2026-01-30,01:31:33,Punch-Out
,2026-01-30,01:31:34,Punch-Out
,2026-01-30,01:31:36,Punch-Out
,2026-01-30,01:31:37,Punch-Out
,2026-01-30,01:31:38,Punch-Out
,2026-01-30,01:31:39,Punch-Out
,2026-01-30,01:31:40,Punch-Out
,2026-01-30,01:31:41,Punch-Out
,2026-01-30,01:31:42,Punch-Out
,2026-01-30,01:31:43,Punch-Out
,2026-01-30,01:31:44,Punch-Out
,2026-01-30,01:31:45,Punch-Out
,2026-01-30,01:31:46,Punch-Out
,2026-01-30,01:31:48,Punch-Out
,2026-01-30,01:31:49,Punch-Out
,2026-01-30,01:31:50,Punch-Out
,2026-01-30,01:31:51,Punch-Out
,2026-01-30,01:31:52,Punch-Out
,2026-01-30,01:31:53,Punch-Out
,2026-01-30,01:31:54,Punch-Out
,2026-01-30,01:31:55,Punch-Out
,2026-01-30,01:31:56,Punch-Out
,2026-01-30,01:31:57,Punch-Out
,2026-01-30,01:31:59,Punch-Out
,2026-01-30,01:32:00,Punch-Out
,2026-01-30,01:32:01,Punch-Out
,2026-01-30,01:32:02,Punch-Out
,2026-01-30,01:32:03,Punch-Out
,2026-01-30,01:32:04,Punch-Out
,2026-01-30,01:32:05,Punch-Out
,2026-01-30,01:32:07,Punch-Out
,2026-01-30,01:32:08,Punch-Out
,2026-01-30,01:32:09,Punch-Out
,2026-01-30,01:32:10,Punch-Out
,2026-01-30,01:32:12,Punch-Out
,2026-01-30,01:32:13,Punch-Out
,2026-01-30,01:32:14,Punch-Out
,2026-01-30,01:32:15,Punch-Out
,2026-01-30,01:32:16,Punch-Out
,2026-01-30,01:32:17,Punch-Out
,2026-01-30,01:32:18,Punch-Out
,2026-01-30,01:32:20,Punch-Out
,2026-01-30,01:32:22,Punch-Out
,2026-01-30,01:32:24,Punch-Out
,2026-01-30,01:32:26,Punch-Out
,2026-01-30,01:32:27,Punch-Out
,2026-01-30,01:32:28,Punch-Out
,2026-01-30,01:32:30,Punch-Out
,2026-01-30,01:32:31,Punch-Out
,2026-01-30,01:32:33,Punch-Out
,2026-01-30,01:32:35,Punch-Out
,2026-01-30,01:32:36,Punch-Out
,2026-01-30,01:32:37,Punch-Out
,2026-01-30,01:32:39,Punch-Out
,2026-01-30,01:32:41,Punch-Out
,2026-01-30,01:32:42,Punch-Out
,2026-01-30,01:32:43,Punch-Out
,2026-01-30,01:32:44,Punch-Out
,2026-01-30,01:32:45,Punch-Out
,2026-01-30,01:32:46,Punch-Out
,2026-01-30,01:32:47,Punch-Out
,2026-01-30,01:32:49,Punch-Out
,2026-01-30,01:32:50,Punch-Out
,2026-01-30,01:32:51,Punch-Out
,2026-01-30,01:32:52,Punch-Out
,2026-01-30,01:32:53,Punch-Out
,2026-01-30,01:32:54,Punch-Out
,2026-01-30,01:32:55,Punch-Out
,2026-01-30,01:32:56,Punch-Out
,2026-01-30,01:32:57,Punch-Out
,2026-01-30,01:32:59,Punch-Out
,2026-01-30,01:32:59,Punch-Out
,2026-01-30,01:33:01,Punch-Out
,2026-01-30,01:33:02,Punch-Out
,2026-01-30,01:33:03,Punch-Out
,2026-01-30,01:33:04,Punch-Out
,2026-01-30,01:33:05,Punch-Out
,2026-01-30,01:33:06,Punch-Out
,2026-01-30,01:33:07,Punch-Out
,2026-01-30,01:33:08,Punch-Out
,2026-01-30,01:33:09,Punch-Out
,2026-01-30,01:33:10,Punch-Out
,2026-01-30,01:33:10,Punch-Out
,2026-01-30,01:33:12,Punch-Out
,2026-01-30,01:33:13,Punch-Out
,2026-01-30,01:33:14,Punch-Out
,2026-01-30,01:33:15,Punch-Out
,2026-01-30,01:33:16,Punch-Out
,2026-01-30,01:33:17,Punch-Out
,2026-01-30,01:33:18,Punch-Out
,2026-01-30,01:33:20,Punch-Out
,2026-01-30,01:33:21,Punch-Out
,2026-01-30,01:33:23,Punch-Out
,2026-01-30,01:33:24,Punch-Out
,2026-01-30,01:33:25,Punch-Out
,2026-01-30,01:33:27,Punch-Out
,2026-01-30,01:33:33,Punch-Out
,2026-01-30,01:33:35,Punch-Out
,2026-01-30,01:33:36,Punch-Out
,2026-01-30,01:33:37,Punch-Out
,2026-01-30,01:33:39,Punch-Out
,2026-01-30,01:33:41,Punch-Out
,2026-01-30,01:33:42,Punch-Out
,2026-01-30,01:33:44,Punch-Out
,2026-01-30,01:33:45,Punch-Out
,2026-01-30,01:33:46,Punch-Out
,2026-01-30,01:33:48,Punch-Out
,2026-01-30,01:33:49,Punch-Out
,2026-01-30,01:33:50,Punch-Out
,2026-01-30,01:33:51,Punch-Out
,2026-01-30,01:33:53,Punch-Out
,2026-01-30,01:33:54,Punch-Out
,2026-01-30,01:33:55,Punch-Out
,2026-01-30,01:33:57,Punch-Out
,2026-01-30,01:33:58,Punch-Out
,2026-01-30,01:33:59,Punch-Out
,2026-01-30,01:34:01,Punch-Out
,2026-01-30,01:34:02,Punch-Out
,2026-01-30,01:34:05,Punch-Out
,2026-01-30,01:34:06,Punch-Out
,2026-01-30,01:34:07,Punch-Out
,2026-01-30,01:34:08,Punch-Out
,2026-01-30,01:34:09,Punch-Out
,2026-01-30,01:34:10,Punch-Out
,2026-01-30,01:34:11,Punch-Out
,2026-01-30,01:42:39,Punch-In
,2026-01-30,22:01:30,Punch-In
Ganesh,2026-01-30,22:29:07,Punch-In
